,linear_tau0.5yr_updateannual_mb_fb_monthly,linear_tau0.5yr_updateannual_mb_fb_annual,linear_tau1yr_updateannual_mb_fb_monthly,linear_tau1yr_updateannual_mb_fb_annual,neg_exp_tau0.5yr_updateannual_mb_fb_monthly,neg_exp_tau0.5yr_updateannual_mb_fb_annual,neg_exp_tau1yr_updateannual_mb_fb_monthly,neg_exp_tau1yr_updateannual_mb_fb_annual
2004,13746834806.617527,13746834806.617527,13746834806.617527,13746834806.617527,13755954377.971628,13755954377.971628,13755711991.643324,13755711991.643324
2005,13772657159.233389,13793896053.623808,13772657159.233389,13793896053.623808,13781172849.304382,13804520622.354233,13781124722.363934,13803852862.618
2006,13511276758.385033,13550576620.62844,13511276758.385033,13550576620.62844,13496361798.623253,13549921255.854975,13502013895.953953,13551949407.930042
2007,13021766348.157187,13107210357.331503,13021766348.157187,13107210357.331503,12962294171.957129,13086518629.03808,12975548405.029404,13091027027.594303
2008,12880965705.454947,13006526118.761951,12880965705.454947,13006526118.761951,12821709609.569187,12987518605.964,12834716317.43601,12991595409.097038
2009,12704194284.900501,12866196125.913967,12704194284.900501,12866196125.913967,12642026941.220577,12848831844.37703,12655950659.20666,12852475143.036266
2010,12686868492.390385,12871123945.823353,12686868492.390385,12871123945.823353,12625716807.965357,12855198569.012533,12639359711.641571,12858428761.451406
2011,12698389881.27251,12904061337.523771,12698389881.27251,12904061337.523771,12638087647.419104,12889673178.744423,12651464251.644796,12892440806.584164
2012,12766555280.001215,12986798225.948368,12766555280.001215,12986798225.948368,12706677552.318512,12973822675.343967,12719883075.656185,12976145430.78294
2013,12657994002.525284,12908016751.134426,12657994002.525284,12908016751.134426,12588297978.615128,12894076956.735748,12604103934.480246,12896592081.469753
2014,12509422102.13158,12789740419.78754,12509422102.13158,12789740419.78754,12433282379.223808,12775460805.482334,12450148752.28379,12777809696.201397
2015,12380641746.727852,12683968616.477808,12380641746.727852,12683968616.477808,12302448248.544863,12671363346.85981,12319419259.587154,12673122157.562658
2016,12209342207.317379,12539861731.268585,12209342207.317379,12539861731.268585,12127135984.575363,12529322824.594376,12144744896.27502,12530486136.552177
2017,11811009419.258274,12166805089.723757,11811009419.258274,12166805089.723757,11712630980.197083,12149663274.221102,11734166187.149433,12152213369.944084
2018,11578383521.225445,11970207526.80566,11578383521.225445,11970207526.80566,11474830504.247835,11955337336.628937,11496951656.019875,11957328232.140968
2019,11495826219.377506,11926352764.487738,11495826219.377506,11926352764.487738,11393904501.431929,11914470313.108427,11415606848.31078,11915722373.41224
2020,11338370117.741438,11809989828.1376,11338370117.741438,11809989828.1376,11232175547.887997,11799783330.61137,11255218578.754408,11800632845.485437
2021,11404396001.242022,11899518043.30883,11404396001.242022,11899518043.30883,11300205774.282267,11891362232.842144,11322669858.141628,11891549969.379757
2022,11232369343.85826,11752269288.054966,11232369343.85826,11752269288.054966,11112967226.320951,11739679585.82634,11139807181.981302,11741129574.724257
2023,11002317062.04385,11536219395.771477,11002317062.04385,11536219395.771477,10871542088.248363,11521947794.66123,10900439123.008806,11523451483.566093
2024,10632690582.603775,11199397389.845743,10632690582.603775,11199397389.845743,10483737530.975525,11181788915.381811,10515780307.542551,11183301038.699848
2025,10337931918.146946,10936709069.757576,10337931918.146946,10936709069.757576,10188530424.421616,10921329090.722689,10220100538.316582,10922138011.366484
2026,10273325756.82333,10894692571.820469,10273325756.82333,10894692571.820469,10126191244.754158,10881903406.024319,10157231801.590572,10882078036.689428
2027,9900831019.604242,10585113257.958202,9900831019.604242,10585113257.958202,9710378686.041325,10568962596.429691,9754181147.204369,10570372629.826462
2028,9767323297.729694,10507899263.811058,9767323297.729694,10507899263.811058,9578030873.813915,10494206459.816776,9621297776.116009,10494907745.908346
2029,9479803136.098375,10230037143.424812,9479803136.098375,10230037143.424812,9285868531.995369,10215036380.689499,9330959863.885155,10216097138.428164
2030,9221447862.852566,9980827414.276691,9221447862.852566,9980827414.276691,9025292057.625175,9967263701.145943,9070546552.506931,9967868466.835323
2031,8744107438.516148,9507649042.970291,8744107438.516148,9507649042.970291,8526488840.7598295,9488573448.374687,8575885395.216391,9490227216.188541
2032,8463802910.562324,9221690304.867281,8463802910.562324,9221690304.867281,8253227533.449374,9205736398.613678,8301550845.4633465,9206816479.641247
2033,8229838290.965534,9068530270.494957,8229838290.965534,9068530270.494957,8011604588.873258,9055461442.12755,8062213793.691471,9055879008.541416
2034,7933418520.695369,8809054748.736237,7933418520.695369,8809054748.736237,7705024819.547392,8797389737.057167,7758654720.228225,8797467010.255682
2035,7921995989.16642,8818814833.276585,7921995989.16642,8818814833.276585,7695740585.644511,8809733303.545681,7748371753.599588,8809150905.5401
2036,7660734263.029086,8564275210.637425,7660734263.029086,8564275210.637425,7423010095.239176,8548806780.729969,7479635503.357498,8550073239.694658
2037,7500945002.500509,8436364323.446044,7500945002.500509,8436364323.446044,7262080072.57563,8423331560.508811,7318674701.191882,8423958412.599852
2038,7283327319.194092,8230886130.51275,7283327319.194092,8230886130.51275,7036177756.800898,8219065734.633494,7094792691.808523,8219487381.253257
2039,6913773905.168032,7877823442.573305,6913773905.168032,7877823442.573305,6647457525.384021,7857713676.274538,6710076536.778478,7859552378.126192
2040,6691221910.26576,7696568706.418278,6691221910.26576,7696568706.418278,6423844925.647341,7678650282.244469,6485973743.062195,7679888254.827574
2041,6601319986.50739,7627687829.491372,6601319986.50739,7627687829.491372,6336924255.307615,7611786357.251434,6398417812.13244,7612500855.047922
2042,6538276361.90699,7571751614.798158,6538276361.90699,7571751614.798158,6274879955.25145,7557552891.841701,6336142057.2325945,7557742915.651231
2043,6451029159.0974865,7492928801.138134,6451029159.0974865,7492928801.138134,6181796638.260536,7480162759.799159,6244646448.334482,7480011176.486683
2044,6264088025.170151,7319918656.942301,6264088025.170151,7319918656.942301,5982504780.573301,7307043464.176715,6048294049.374393,7306820885.7410965
2045,5925472641.332207,6983994316.920414,5925472641.332207,6983994316.920414,5626566142.392265,6961828934.509985,5695636739.836593,6963089656.271067
2046,5866068584.514711,6950652469.629954,5866068584.514711,6950652469.629954,5573272062.265211,6930396845.555284,5640630603.844184,6931084771.759277
2047,5781903533.302517,6879664289.611502,5781903533.302517,6879664289.611502,5491672216.266146,6861410980.389917,5558238012.999742,6861512250.86746
2048,5835762889.543961,6940288485.907744,5835762889.543961,6940288485.907744,5549613636.012301,6923495257.45035,5615631329.911442,6923059966.871226
2049,5630777998.770731,6715007036.767561,5630777998.770731,6715007036.767561,5320176304.698341,6687969815.072508,5393136800.328598,6690293770.244697
2050,5737551709.976439,6810992802.850506,5737551709.976439,6810992802.850506,5427145986.955706,6785516586.593044,5500236340.778626,6787244851.993492
2051,5487113663.010717,6551176560.215944,5487113663.010717,6551176560.215944,5134689874.360292,6508948372.249502,5219240228.887011,6515480537.773535
2052,5336782317.033081,6389002821.081417,5336782317.033081,6389002821.081417,4990676637.267002,6347502429.04854,5071822260.992927,6353764866.618033
2053,5250495717.669333,6322774300.416872,5250495717.669333,6322774300.416872,4918274122.713664,6282590077.931287,4994226300.092873,6288563940.806311
2054,5011698389.871613,6085468866.326441,5011698389.871613,6085468866.326441,4685501505.340444,6040497259.453019,4759838902.243366,6047609665.38349
2055,4879487806.82922,5981244492.041573,4879487806.82922,5981244492.041573,4561846132.6726055,5937657391.251993,4631693237.090584,5944301818.450174
2056,4529906806.958532,5635028369.9190235,4529906806.958532,5635028369.9190235,4215455774.6449175,5577795505.501859,4289621521.058093,5587809432.056192
2057,4397500738.773502,5476551099.218039,4397500738.773502,5476551099.218039,4095988993.7919874,5420790211.758896,4166828205.9344893,5430331118.656706
2058,4414472964.195581,5442824629.954985,4414472964.195581,5442824629.954985,4129284405.4626656,5388151531.80125,4192478014.5059414,5397341874.845034
2059,4540263189.304367,5517268093.583615,4540263189.304367,5517268093.583615,4259695873.0558486,5463192166.80035,4323456599.672453,5472145560.390114
2060,4488277213.089697,5429254349.790003,4488277213.089697,5429254349.790003,4176797394.283031,5372973492.014619,4252399371.919918,5382580323.994121
2061,4432789778.724827,5329030387.117161,4432789778.724827,5329030387.117161,4105605818.0072746,5271477941.789816,4186967827.7554255,5281006402.107796
2062,4426686794.761141,5299801418.891454,4426686794.761141,5299801418.891454,4100863542.69851,5246141827.737815,4183488386.980962,5254975827.834283
2063,4394990917.363507,5249525854.4704685,4394990917.363507,5249525854.4704685,4069775161.293621,5200270861.231785,4148785457.7173586,5208864819.793119
2064,4370658661.796566,5178513490.5803795,4370658661.796566,5178513490.5803795,4049601055.970301,5129634236.424334,4122874921.108821,5137924705.329369
2065,4110721924.547976,4878278344.470963,4110721924.547976,4878278344.470963,3766955119.4243464,4816016878.693367,3848740233.9232397,4828244740.791708
2066,3971252575.1550794,4735592359.3715315,3971252575.1550794,4735592359.3715315,3631219397.3662844,4681094311.700857,3714113107.8527727,4692037654.252838
2067,3782171603.0533752,4534372837.072379,3782171603.0533752,4534372837.072379,3435200800.98312,4480655946.144344,3519641865.087951,4491276688.923544
2068,3642119458.2192416,4410607318.071882,3642119458.2192416,4410607318.071882,3303169319.6215177,4366290676.015209,3374020479.891211,4375148584.878986
2069,3506102693.1147537,4332380556.907594,3506102693.1147537,4332380556.907594,3201977923.6715255,4289060686.2772913,3258680389.4433126,4297531213.806625
2070,3429256069.3936467,4271346395.919893,3429256069.3936467,4271346395.919893,3163820821.6558113,4233590533.1468816,3218599122.4543,4240171883.4424477
2071,3394446195.754129,4229358513.1999407,3394446195.754129,4229358513.1999407,3168535939.8215394,4196220449.789782,3212356032.845126,4202390832.420253
2072,3531116061.9715633,4362539645.76177,3531116061.9715633,4362539645.76177,3316140402.5762234,4330019285.027721,3360120175.817343,4335859213.974981
2073,3658720851.324091,4481079360.749289,3658720851.324091,4481079360.749289,3453782349.847099,4449032120.137039,3498840835.742338,4454604363.106113
2074,3707480581.856758,4501584046.503777,3707480581.856758,4501584046.503777,3500262091.5596223,4470111820.68539,3549501434.19936,4474748916.405444
2075,3809577035.2897577,4582548224.759861,3809577035.2897577,4582548224.759861,3605501565.6151934,4556058290.2492695,3656052429.275778,4560380412.862017
2076,3729379187.2156024,4469190890.448395,3729379187.2156024,4469190890.448395,3495485012.889399,4428990356.251497,3555350587.5464983,4436347489.494644
2077,3848269226.2565784,4571756499.821638,3848269226.2565784,4571756499.821638,3610023406.369664,4531878622.380114,3670570337.2842875,4538997244.542809
2078,3915887545.383417,4614109076.028408,3915887545.383417,4614109076.028408,3656505045.130002,4573643876.500668,3719978735.075201,4580840893.440433
2079,3810338196.839452,4472389928.157298,3810338196.839452,4472389928.157298,3533858328.9855547,4423832255.574791,3590702518.7985377,4432907874.503206
2080,3885593667.9839535,4524867772.941555,3885593667.9839535,4524867772.941555,3613208127.2877917,4476865098.903772,3663976074.594613,4485618792.645456
2081,3939645840.067088,4582123279.602889,3939645840.067088,4582123279.602889,3661019632.697048,4534313022.648971,3713636727.9139094,4542850101.82215
2082,3986526706.68186,4625317985.033112,3986526706.68186,4625317985.033112,3710778717.0086317,4577715088.507996,3764908302.147641,4586065034.18576
2083,4134789296.3311605,4751355505.645346,4134789296.3311605,4751355505.645346,3865422299.502431,4704074490.740594,3920174303.3940697,4712149755.377535
2084,4197717808.571147,4815466589.780862,4197717808.571147,4815466589.780862,3929001298.182847,4767607179.907663,3985428453.709386,4775665916.492546
2085,4193007278.7418966,4798241020.689092,4193007278.7418966,4798241020.689092,3900838131.445428,4747104509.206793,3966268312.1934156,4755623030.06287
2086,4161193620.735509,4777709134.77524,4161193620.735509,4777709134.77524,3870986820.92997,4724461481.802347,3933920952.920599,4732989027.469515
2087,4328173026.51862,4942809968.098656,4328173026.51862,4942809968.098656,4050675590.9386663,4890643105.348304,4107540809.9738617,4898988405.474149
2088,4476692390.697334,5081508569.085787,4476692390.697334,5081508569.085787,4199408138.046208,5033819678.428854,4257917155.784475,5041505221.80247
2089,4525507305.704715,5137633781.137435,4525507305.704715,5137633781.137435,4237932344.5734057,5090445393.582581,4301595556.888519,5097339694.221722
2090,4589068808.64337,5206429480.629986,4589068808.64337,5206429480.629986,4307981472.8268585,5159199341.422386,4368207214.064583,5165901159.163665
2091,4705379883.408678,5312777558.565203,4705379883.408678,5312777558.565203,4428175046.119733,5266718415.929859,4489509584.628923,5273137930.101379
2092,4704852375.301682,5309559783.85094,4704852375.301682,5309559783.85094,4425777605.939835,5267429417.6866255,4490509037.874083,5273579108.2679405
2093,4827824947.458894,5432712315.634454,4827824947.458894,5432712315.634454,4560210948.809681,5391435634.418133,4617999918.747899,5396955915.790747
2094,4969911637.146283,5574061573.991718,4969911637.146283,5574061573.991718,4703818965.350046,5533144572.585485,4762754537.509972,5538394713.724061
2095,5059626121.047371,5668239889.313207,5059626121.047371,5668239889.313207,4780643324.840625,5632024889.802108,4844604747.199949,5636550672.744512
2096,5304109604.357126,5935851044.909717,5304109604.357126,5935851044.909717,5024967400.176256,5899920482.921715,5089671693.068629,5904162322.182873
2097,5378247219.123063,6014445517.169319,5378247219.123063,6014445517.169319,5091996207.030839,5976441933.90596,5158358718.375798,5981701796.9737015
2098,5293047200.893548,5922452627.96759,5293047200.893548,5922452627.96759,4982527702.893314,5877056701.469877,5055113925.042532,5883587346.170304
2099,5148309389.038373,5772954904.739729,5148309389.038373,5772954904.739729,4822350137.757816,5715897642.250225,4898677723.013651,5723298685.649554
2100,5086488404.580142,5729937797.169394,5086488404.580142,5729937797.169394,4757857679.419727,5673223925.293297,4833858434.602442,5680250760.6035795
