,linear_tau0.5yr_updatemonthly_mb_fb_monthly,linear_tau0.5yr_updatemonthly_mb_fb_annual,linear_tau1yr_updatemonthly_mb_fb_monthly,linear_tau1yr_updatemonthly_mb_fb_annual,neg_exp_tau0.5yr_updatemonthly_mb_fb_monthly,neg_exp_tau0.5yr_updatemonthly_mb_fb_annual,neg_exp_tau1yr_updatemonthly_mb_fb_monthly,neg_exp_tau1yr_updatemonthly_mb_fb_annual
2004,13746283918.779083,13746283918.779083,13746283918.779083,13746283918.779083,13750589267.880878,13750589267.880878,13751587857.100918,13751587857.100918
2005,13781825935.989647,13780821309.191034,13781825935.989647,13780821309.191034,13783399045.993969,13782514967.625603,13786704808.462921,13785760195.826279
2006,13548101461.079132,13547677600.046627,13548101461.079132,13547677600.046627,13531066932.095354,13530894281.50523,13539273220.857128,13538995232.027195
2007,13090341115.971428,13092560375.336456,13090341115.971428,13092560375.336456,13083884254.119558,13085988827.250216,13081543610.79645,13083738236.613726
2008,12984509715.09954,12987214557.542927,12984509715.09954,12987214557.542927,12977793459.252651,12980224828.966467,12975750782.890734,12978332355.135368
2009,12847104665.37779,12850572645.151623,12847104665.37779,12850572645.151623,12838910530.058674,12841958406.917234,12837976183.678446,12841232367.332512
2010,12857023653.791744,12860555372.061886,12857023653.791744,12860555372.061886,12855041798.999487,12857963106.638004,12851956613.3382,12855160504.362999
2011,12885631248.027945,12888960221.674816,12885631248.027945,12888960221.674816,12868391751.418499,12871063863.743713,12872481886.670807,12875481783.158033
2012,12968269623.456202,12970426211.85856,12968269623.456202,12970426211.85856,12925546689.55767,12927092261.53469,12940109484.962158,12941956358.419216
2013,12877757454.965591,12881589581.720356,12877757454.965591,12881589581.720356,12828136865.84223,12829983369.187433,12845430736.198235,12848073593.666218
2014,12760451954.589867,12765772580.57443,12760451954.589867,12765772580.57443,12714640862.477596,12718831225.148613,12729441165.006222,12734215680.92546
2015,12656549408.427557,12661602203.689342,12656549408.427557,12661602203.689342,12579248339.777458,12583315643.34972,12607099334.55716,12611702878.759174
2016,12511119188.340212,12517645237.211254,12511119188.340212,12517645237.211254,12445505772.00497,12450711312.075998,12469248978.728779,12475131019.931458
2017,12141824544.09781,12152927650.948006,12141824544.09781,12152927650.948006,12069845493.254852,12077526623.13903,12097392015.783945,12106562151.481998
2018,11932287459.45957,11945008760.958443,11932287459.45957,11945008760.958443,11859815012.384518,11870177658.939339,11888390873.268562,11899831019.906197
2019,11873577381.840021,11890839720.265898,11873577381.840021,11890839720.265898,11786989409.89719,11799675878.41512,11821186538.351458,11836602947.210167
2020,11755204487.940945,11773848512.91715,11755204487.940945,11773848512.91715,11663508681.335455,11678641410.007977,11699856149.121006,11716548256.694092
2021,11839565349.476685,11857085675.824924,11839565349.476685,11857085675.824924,11708961071.781418,11722975707.917439,11762383844.109383,11777955439.849846
2022,11694804919.987535,11713555545.156574,11694804919.987535,11713555545.156574,11547258583.992334,11562539523.103962,11605917271.816872,11622767854.165216
2023,11486611735.446365,11508170001.96696,11486611735.446365,11508170001.96696,11317961192.094233,11334534260.834616,11383917356.737965,11403276903.505054
2024,11131027184.962008,11155071256.728975,11131027184.962008,11155071256.728975,10943678899.831097,10963056741.21698,11014816954.749352,11035970720.668028
2025,10866437330.326292,10893063948.006306,10866437330.326292,10893063948.006306,10666589303.962063,10688777230.550354,10743847399.87099,10767986162.386454
2026,10818519816.7063,10846400759.13847,10818519816.7063,10846400759.13847,10615978072.052309,10638011047.333866,10694436448.292803,10719127218.3707
2027,10481080338.302803,10513618477.025356,10481080338.302803,10513618477.025356,10270331308.361252,10297437071.229456,10348897672.36492,10378303952.91718
2028,10391454770.488739,10426532489.380932,10391454770.488739,10426532489.380932,10146263224.730621,10176017496.14256,10238476427.042128,10270581934.709785
2029,10138522051.294613,10176076856.065254,10138522051.294613,10176076856.065254,9860564891.081936,9892468800.180233,9965405551.95449,9999948559.409107
2030,9882729566.198692,9922160674.521812,9882729566.198692,9922160674.521812,9611034076.388275,9644960434.627735,9714464159.82455,9750766321.544806
2031,9415188170.167603,9459457391.140533,9415188170.167603,9459457391.140533,9137283394.48584,9174641421.768787,9240246443.49154,9281300815.222868
2032,9142217356.839226,9189990441.327587,9142217356.839226,9189990441.327587,8851574662.5843,8893631527.63959,8963980159.186678,9008495708.625525
2033,8912570219.388943,8960483427.718582,8912570219.388943,8960483427.718582,8640678205.257416,8682603903.703815,8745571906.641775,8790043184.235758
2034,8674639207.8015,8725780889.490025,8674639207.8015,8725780889.490025,8374759679.192036,8419815936.36363,8488832461.834801,8536450878.375963
2035,8675465480.941118,8726569424.601467,8675465480.941118,8726569424.601467,8337640540.828963,8382905301.632656,8467424572.153036,8515145036.868553
2036,8436282069.271183,8490109464.762367,8436282069.271183,8490109464.762367,8072576130.077031,8120842429.58922,8210713725.539953,8261377214.4988575
2037,8285401302.223696,8338780573.627896,8285401302.223696,8338780573.627896,7900988991.352506,7949123316.65495,8046429623.795607,8096877388.817465
2038,8092193733.300644,8147728272.092057,8092193733.300644,8147728272.092057,7678877911.158592,7729618452.9239025,7835765104.509733,7888596936.909115
2039,7739548947.05069,7797805563.873857,7739548947.05069,7797805563.873857,7322001549.778692,7375778054.026508,7477505949.184345,7533476110.360552
2040,7526410861.41311,7585016722.377029,7526410861.41311,7585016722.377029,7103816898.097519,7157671161.018727,7263063290.95992,7318973586.451454
2041,7454204366.813959,7512711580.589406,7454204366.813959,7512711580.589406,6998056582.601145,7052640544.878807,7170904332.11877,7226900994.409003
2042,7398588297.295664,7458522658.542135,7398588297.295664,7458522658.542135,6914892021.266336,6970260357.909763,7098610804.391225,7155977999.209017
2043,7315731970.532032,7373712461.111013,7315731970.532032,7373712461.111013,6825012857.66558,6880289526.822826,7010328412.23494,7066971575.645752
2044,7147644017.760339,7207046019.764041,7147644017.760339,7207046019.764041,6635919661.052956,6692885257.011828,6829314699.730709,6887966154.493286
2045,6818692565.757147,6880468387.714539,6818692565.757147,6880468387.714539,6292704697.41188,6351888007.661131,6490360292.078844,6551098034.703146
2046,6760859656.21538,6819009291.863034,6760859656.21538,6819009291.863034,6208829656.950806,6264180976.0427,6417724778.144462,6474455639.027097
2047,6682142523.526138,6740628948.043119,6682142523.526138,6740628948.043119,6074441674.832385,6130780672.566369,6304533787.574948,6362002741.02589
2048,6730454388.621262,6787509051.861733,6730454388.621262,6787509051.861733,6070864732.338108,6125776603.699628,6321168256.807095,6377228326.023437
2049,6511567426.7072,6568619807.255581,6511567426.7072,6568619807.255581,5802932837.013635,5858899386.066185,6070545324.437258,6127295241.798985
2050,6599724076.366508,6653764949.908241,6599724076.366508,6653764949.908241,5844385532.1103945,5897845003.419439,6130495065.851127,6184707640.094628
2051,6333334660.820148,6387219599.35693,6333334660.820148,6387219599.35693,5535732200.386419,5590256765.795888,5835146115.666093,5890315383.804234
2052,6184060639.895922,6238550454.556916,6184060639.895922,6238550454.556916,5366006552.59482,5421710182.456734,5676179890.157493,5732326121.004454
2053,6091578729.321082,6136273051.253136,6091578729.321082,6136273051.253136,5248549986.6010275,5295597241.064487,5570242080.780407,5616870850.047377
2054,5869335159.654322,5918812294.151027,5869335159.654322,5918812294.151027,4987358316.774809,5040262180.593473,5322594690.099903,5374765584.812971
2055,5716796050.49349,5756736309.052555,5716796050.49349,5756736309.052555,4823086696.216993,4865029812.720478,5161363464.467091,5202592596.538364
2056,5385999469.380461,5434316949.974655,5385999469.380461,5434316949.974655,4453661250.239444,4504790679.0226345,4802165085.745218,4853254967.032575
2057,5227918783.25716,5281729558.253435,5227918783.25716,5281729558.253435,4275333948.358696,4328172614.637646,4626036290.432578,4679905530.756422
2058,5188852770.944784,5239904319.162921,5188852770.944784,5239904319.162921,4229940645.4413633,4273164371.056678,4580895804.553263,4629898427.770693
2059,5261440252.370097,5308580881.628944,5261440252.370097,5308580881.628944,4304339739.392457,4340821593.482571,4654801635.073641,4696721428.689243
2060,5143007519.129249,5192454317.672436,5143007519.129249,5192454317.672436,4204920727.691825,4239117141.1696463,4547228484.625177,4587638876.961977
2061,5062157187.976945,5099060840.2750635,5062157187.976945,5099060840.2750635,4130999345.1458864,4150540101.203196,4465959902.19408,4495831039.565312
2062,5039126148.295765,5081969265.175077,5039126148.295765,5081969265.175077,4097208739.0552373,4119334262.471086,4436610355.093231,4464621269.91633
2063,4995648219.509636,5039994721.261866,4995648219.509636,5039994721.261866,4047268155.4908905,4073901402.861941,4399688234.914152,4429536839.419432
2064,4945662408.319533,4986465952.891727,4945662408.319533,4986465952.891727,3999596158.1899056,4033525528.8020473,4360817427.824221,4397232823.166349
2065,4662776023.072273,4701844560.962528,4662776023.072273,4701844560.962528,3759363642.704232,3788980206.0754013,4100003334.373756,4133141041.6100845
2066,4519978911.814299,4556026252.7185545,4519978911.814299,4556026252.7185545,3634054752.920905,3660054191.6285057,3975014535.8761196,4004734309.3181095
2067,4334544262.793039,4373420370.218585,4334544262.793039,4373420370.218585,3450614515.135846,3481785112.890824,3792815130.656366,3827350952.8770475
2068,4195837672.3855586,4222928221.615018,4195837672.3855586,4222928221.615018,3327156019.467583,3345048146.0980597,3668600770.0733447,3689199092.808584
2069,4102414619.2493367,4130749762.5977473,4102414619.2493367,4130749762.5977473,3234219721.3442063,3249188073.308059,3573100487.621457,3595464426.6133823
2070,4059622308.1752534,4098503013.3363256,4059622308.1752534,4098503013.3363256,3182567546.7617235,3210444011.869379,3515393299.790718,3550810587.7299776
2071,4020190422.8444786,4049236076.907901,4020190422.8444786,4049236076.907901,3164201523.971482,3182127219.511866,3469082750.6374474,3497205356.478203
2072,4146788376.9443083,4178830059.2596626,4146788376.9443083,4178830059.2596626,3279026963.63828,3294825206.3269124,3573417624.4462266,3604264309.652634
2073,4264151800.743933,4295272128.374923,4264151800.743933,4295272128.374923,3396891676.620045,3408883380.187248,3673586381.5473886,3703277984.240424
2074,4286272013.9202695,4317837503.0650425,4286272013.9202695,4317837503.0650425,3432663496.9244976,3446268196.217099,3688190611.637186,3714102279.0347776
2075,4364083276.401234,4389073033.289439,4364083276.401234,4389073033.289439,3516677342.4258556,3520635857.6918845,3761466499.027843,3777716516.8522243
2076,4239434189.9564724,4268996541.1179266,4239434189.9564724,4268996541.1179266,3411558019.173261,3426211973.571641,3648449192.880365,3666989089.429616
2077,4336455232.6532345,4363350451.536031,4336455232.6532345,4363350451.536031,3515344474.217073,3524734234.153777,3754931297.3944826,3768843037.588524
2078,4376723036.228323,4394580738.051519,4376723036.228323,4394580738.051519,3574164698.389059,3569491892.061561,3824533742.931033,3817091109.2007422
2079,4247752490.3100924,4277744501.951662,4247752490.3100924,4277744501.951662,3453738341.5420933,3463174633.1225734,3717048732.0786877,3730656149.791501
2080,4288049637.0248203,4308383509.93667,4288049637.0248203,4308383509.93667,3518853926.487567,3506265509.7154474,3784168925.8614845,3782290687.0008917
2081,4327483361.095446,4353192527.244583,4327483361.095446,4353192527.244583,3568443313.209799,3561331084.011542,3838627114.4199834,3843088174.7418904
2082,4367715068.00591,4400123845.151612,4367715068.00591,4400123845.151612,3608243371.660448,3621151326.9883585,3887460488.79648,3907574196.4927764
2083,4498976272.302572,4512999447.08123,4498976272.302572,4512999447.08123,3729201032.455679,3716726257.383105,4017527073.778603,4013530374.8089614
2084,4559131159.010306,4581822695.388922,4559131159.010306,4581822695.388922,3782853678.6483936,3787025789.7060614,4075371523.015467,4086725630.5248528
2085,4542423678.795572,4546255048.300283,4542423678.795572,4546255048.300283,3762851187.3028464,3746475777.4489036,4053519878.613042,4046753753.002735
2086,4520865910.8860035,4543312776.051779,4520865910.8860035,4543312776.051779,3731645463.4852495,3742373311.9364214,4027319350.964082,4044726596.7034674
2087,4685584267.393183,4695727824.8126,4685584267.393183,4695727824.8126,3895197409.0988674,3885583222.120905,4194636578.73058,4194656221.804119
2088,4834734786.698876,4838679038.7756195,4834734786.698876,4838679038.7756195,4029198696.896249,4017238560.3813276,4334627843.45496,4330029648.932007
2089,4877687101.059597,4891266023.132441,4877687101.059597,4891266023.132441,4055921808.106945,4054025155.497625,4362911152.387432,4368231899.017345
2090,4946327059.008782,4960452387.673036,4946327059.008782,4960452387.673036,4124377774.6687036,4124291619.724816,4432309526.329749,4438656025.579888
2091,5059644897.001518,5068087111.640953,5059644897.001518,5068087111.640953,4229721831.941996,4224398729.0521517,4542719968.600699,4543841025.766609
2092,5056255621.909651,5067217497.647543,5056255621.909651,5067217497.647543,4219337334.6529813,4217469610.8891735,4528893353.295944,4534959565.358705
2093,5180899972.82728,5188698146.194501,5180899972.82728,5188698146.194501,4355745740.02908,4349233187.831879,4659233093.620648,4661442075.510868
2094,5321593257.887703,5322450787.708297,5321593257.887703,5322450787.708297,4471143643.914076,4459432748.507658,4786610712.525811,4781417678.039754
2095,5421554160.973645,5399523177.3450165,5421554160.973645,5399523177.3450165,4547332263.361444,4508189339.930741,4865982938.838583,4836859771.34966
2096,5673330544.462586,5664220057.2245245,5673330544.462586,5664220057.2245245,4774312507.659724,4751328849.266087,5101825669.037228,5087285841.169332
2097,5752923870.171113,5749696153.380185,5752923870.171113,5749696153.380185,4817298816.105807,4805343407.340301,5155649192.690731,5152240096.085402
2098,5671291288.117406,5672324289.678532,5671291288.117406,5672324289.678532,4739143064.86925,4727664073.696522,5071360242.914143,5068541578.677088
2099,5533755651.426521,5543911375.005198,5533755651.426521,5543911375.005198,4620754098.646686,4623939291.173652,4943675084.1132555,4952309629.659204
2100,5475492025.48196,5479159156.560305,5475492025.48196,5479159156.560305,4582829444.015527,4579471676.303593,4900911899.739716,4902158940.320865
